dyu,fr,dyu_len,fr_len
margerit brɛne ka sira min be masevo ,rue marguerite braun masevaux,37,29
a be bretɔn ka tan fɔ a ,parletil le breton ,24,19
a bi kulɛkanbabaw fɔra,elle criait des mots rauques,22,28
zan geral ka sira min be tuluz,rue jean gayral toulouse,30,24
a bi kɛlɛkɛ ni venis ye, guerre avec venise,23,19
vial ka sira min be liɲerɔl ,route de la viale lignerolles,28,29
ciradogoni a ya bugɔ na ka sen ye,lespion frappa du pied,33,22
a tun lani ta ra,il est très étonné,16,18
nenifare ka sira min be perɔl ,rue des nénuphars pérols,30,24
zɔrz le podɛr ka sira min be ɔrɛyi ,rue georges le poder auray,35,26
pɔn jani ka sira min be angolɛm ,rue du pont sec à angoulême,32,27
hɛrɛbaji,locéan pacifique,8,16
albɛr ɛrve ka sira mon bi burge,rue albert hervet à bourges,31,27
amede lefɔrvaliɛr ka sira,rue amédée lefaure vallière,25,27
tanɛr ka sira min be yi taru,rue des tanneurs à charroux,28,27
mɔgɔ dɛmɛbagaw ka dɛmɛ ni,laide des pompiers,25,18
i bi mulo kɛra,qu’estce que tu fais,14,20
a nin yɔrɔw bɛɛ bi na sɔkɔ ka nin sɔrɔ,tout son être ressuscita,38,24
san pɛrɛn tɔgɔ kelen,nom dun tonnerre,20,16
yɔrɔbɛ an bɛ ta,partout pour tous,15,17
an bi na son o ma,nous y sommes favorables,17,24
n tun ma barakɛ ten,je nai jamais tant travaillé,19,28
mɛrkadie ka sira min bɛ diɲi le bɛn,rue mercadier dignelesbains,35,27
darbuson ka lotiseman tan ni wɔrɔnan,seize lotissement darbousson,36,28
o ye nankɔ tɔgɔ deni da ale fana ma siraba gɛrɛfɛ,on lui dédie également le nom dun square à proximité du boulevard,49,65
fanga tigi ka kɛ wali tun bi tugura kɔ,la tyrannie suit le tyran,38,25
mayɔl ka yɔrɔ filanan,place mayol au numéro deux,21,26
lorans ye koba kɛ,laurence eut un geste vague,17,27
filɛru ye jakumani deni ye,les fleurs sont des chatons,26,27
i ye i balimamuso kanu,tu aimas ta sœur,22,16
ni bɛl roz ka miriya o be tugura an kɔ,on me suit pensa bellerose,38,26
o kun ba ka ladimiyɔrɔ ko ra,on lavait sa blessure,28,21
a ni se mese bretɔn,merci monsieur breton,19,21
a ka balimacɛw bina tugu a kɔ,ses frères vont le suivre,29,25
ji dɔni da ma,donnelui moins d’eau,13,20
kɔmi n ka dɛmɛbaga lo,puisque c’est ma nourrice,21,25
uf buf doni juman ,ouf bouf quelle charge ,18,23
balmetuw ka sira biduru,cinquante route des balmettes,23,29
an ban yɛrɛ kɛra sinwa le ye wa,on se fait un chinois,31,21
i ka kokɛta bi yira ko koɲanaman lo,la méthode s’avère efficace,35,27
wɛrɛ saba,trois montée de lenclos,9,23
a diyara a ye yan wa ,ça vous a plu ici ,21,18
mɔgɔ tina n ka gwata kɔrɔ caaman,mon stand est peu fréquenté,32,27
vɛnsan detare sira tan ni seegi,dixhuit rue vincent détharé,31,27
batoliyɔrɔdeni cɛ ɲu ma ni,une petite et jolie chapelle,26,28
dɔ ni dɔw,les uns et les autres,9,21
boregar ka sira tan,dix chemin du beauregard,19,24
martɛluw ka sira manɔsk ,rue des martels manosque,24,24
sɛn sarle ka luba tan ni seegi,dixhuit villa saintcharles,30,26
olou oyo lon,eux ils sont connus,12,19
a tounbi yorô djoumè école la,où avezvous été à l’école ,29,26
touma djouman lo ibi na mogo sorô,quand aurastu quelqu’un ,33,24
o ka tcha ko sobè,ils sont trop nombreux,17,22
alé kagni,c’est bien cela,9,15
an ka subaga ye sisan,voilà enfin notre sorcier…,21,26
alouh ya fô ko di,questce que vous avez dit ,17,26
ah kagni ah ni tché,c’est bien… merci…,19,18
fourou sarademissin fila lo bâ fè,divorcé il a deux enfants,33,25
kalan djouma lo aba kèra,quelles études faitesvous ,24,26
an ka ta gnongon fè,allons ensemble,19,15
a man ca,ce nest pas trop,8,16
a furura ni argi ye,il est marié à argie,19,20
ɔnhɔn karfɔr ka jaabili,oui répondit carfor,23,19
o bi ka balimamuso kanu,elles aiment ta sœur,23,20
a nana busi ra,il est venu en bus,14,18
nne ka kɛnɛ alu do,je vais bien et vous ,18,21
a lugu a bi na kalan,vous vous liriez,20,16
sini wagati juma le,depuis combien de temps ,19,24
nin fɛn nin kama,à cause de cela,16,15
alu be siran na le wa ,vous avez peur ,22,15
o tina mè,ils ne dureront pas,9,19
a fô ayé keké clara ka ban,répètelui que tu es à bout,26,26
sissan un yê bâ ra,maintenant je le vois,18,21
en ka flè,voyons quel âge avezvous …,9,26
aka charia yi djoumè le yé,et quel serait le prix ,26,23
sicardières ka sira tan,dix route des sicardières,23,25
a bi na to an nugu cɛma,il demeurera parmi nous,23,23
an ka taga a kaɲi,allons c’est bien ,17,18
a lu bɛɛ bi na kafe ta wa,vous prendrez tous un café ,25,27
kama sɔrɔ an ba kɛdi,alors que faire,20,15
a lu ma fo yi ye ban n balimanw,vous navez rien vu mon cher,31,27
a ye wari ni ta a be yɔrɔmina,prenez l’argent là où il est,29,28
i be yan a mɛna wa,estu depuis longtemps ici ,18,26
aa lugu tun nana nin jɔn ye,avec qui étiezvous venu ,27,24
a yi lɔ n ya minɛ,attendez je le tiens,17,20
nne te foyi famu na foyi,je n’y comprends rien rien,24,26
dɛl prat ka sira bisaba ani kelen,trente et un chemin del prat,33,28
nne bi na taga sini,je m’en irai demain,19,19
ka an toi ya an bi sira nin ye ɲanaman,dici on voit bien la route,38,26
ji yɔrɔni tununa ka ban,lîle a quasiment disparu,23,24
tabali mugan ni saba,vingttrois tables,20,17
sinɔgɔlɔ bi nnera,jai envie de dormir,17,19
munkaman a fagara,pourquoi s’estelle éteinte,17,26
a ba dogo yɔr wɛrɛ,cachez le quelque part,18,22
a le maɲi,ce n’est pas bien,9,17
mɔgɔ wɛrɛ kaɲi ka na le waɛ,quelqu’un d’autre doit venir ,27,29
nunu tulokɛminɛ nin bɛ ye i ta le ya,tous ces jouets sont à toi ,36,27
ka mɔgɔ fo,pour saluer quelqu’un,10,21
o bi muso kɔrɔbani su dɔnna,on enterre la vieille femme,27,27
sinɔgɔ wagati sera,il est temps de dormir,18,22
kana kuma kelen fɔ,n’en dit pas un mot,18,19
elé ma i labè ka ban wa,tu nes pas prêt non,23,19
annu kaɲi ko mara,nous devons les protéger,17,24
denmisen joli lo bi alu fɛ,combien denfants avezvous ,26,26
a lé ma sé ko bâ man,ça ne vaut pas grandchose,20,25
abé kouma na ni aka woulou yé,il parle à son chien,29,20
bing ni sorô mandi,lherbe est rare,18,15
o bina na wagati juman ,quand viendrontils ,23,19
a bi ni bonbochi gèma yé,il a une barbe blanche,24,22
a ma sé alé mah,ça ne vaut la peine,15,19
dɔ bi nana,quelqu’un vient,10,15
a yi ta ni ye nin yɔrɔ nin na,emmenezmoi à cette adresse,29,26
ɔhɔn ne labɛnin le ka ban,oui je suis prêt,25,16
nin furuso nin be ne musomani den kelen,le couple a une fille,39,21
a a bena sɔrɔ,ah … il y aura…,13,15
ne ma o sɔrɔ,je ne les ai pas trouvés,12,24
a timiya be n na,ah que j’ai mal ,16,16
annu sɔn na,nous sommes d’accord,11,20
alzom ka sira,deux route dalzom,13,17
bâ lon ki bina kanou,je suis sûr que tu aimeras,20,26
a yé segi bâ dari la,asseyezvous s’il vous plait,20,27
wakti tè mè ni ayé mini kè,il a bu autrefois,26,17
i toumbi o konon na woula fè bè,tu les attendais chaque soir,31,28
alou toun yinz na a ko,vous vous l’avez même doublé,22,28
alou be ni lon wa,connaissezvous cela ,17,20
mogô djoli,combien de personnes ,10,21
dougou bâ ni bè bâ bolo,il a la ville entière,23,21
anou bi yan,où sommesnous ici ,11,18
kelé ne yèlèra doni ne kassora,lun rit lautre pleure,30,21
walti djouma le a nana,quand étaitil venu ,22,19
olou touma lamè,ils ne l’avaient pas écoutée,15,28
alouyé ne dèmè ko sèbè,vous mavez beaucoup aidé,22,24
o kè kagni alou bâ le lon wa,ah des belles vous savez,28,24
sikaro paké fila bé un fè,jai deux paquets de sucre,25,25
déni toun soundogora,lenfant sétait endormi,20,22
a yorô ka djan ni yan yé wa,il est loin dici ,27,17
o tara a mè na,il fallait donc le dire,14,23
ɲɛnamaya tun bɛ yen,la vie était là,19,17
mɔgɔ mugan ni wolofila,vingt sept personnes,22,20
duurunan bi yɔrɔjuma,où est le cinquième …,20,21
a le wolola kira la,il est né à kerala,19,18
a yi dinkili là,je veux que vous chantiez,15,25
sira toug ka djan,la route était longue,17,21
bafla deng fila lo,c’est même deux chapeaux ,18,25
ɲa foyi o cogo ra,ici rien de cela,17,16
nusundiya dɔni,un peu d’émotion…,14,17
n kaɲi ka kɔnɔnikɛ wa,je dois attendre ,21,17
dji yé,un verre deau ,6,14
si ya kôrô lo,ils sont une race ancienne,13,26
koulo tè,ce nest pas dun jeu,8,19
baou foraanitché,je vous remercie,16,16
ni a kanou ni le,lui il est aimé,16,15
sira ni tougou ni tè,la route nest pas bloquée,20,25
nga demousso te yan,ma fille nest pas ici,19,21
ne nous son ka di,je suis content,17,15
bon bissa bâ ani kele,trente et une maisons,21,21
sèbè ni bi tabli kan,le livre est sur la table,20,25
ani rxvé ika wdlé ni kama,merci davoir appelé,25,19
ne tɛ a dɔn,je ne sais pas ,11,15
a tɛ da ni yɛlɛ,il n’ouvre pas la porte,15,23
mura bɛna kɔsɔbɛ,je suis très enrhumée,16,21
u ta fɛ ka taa,elles ne veulent pas partir,14,27
alou kéra sougoirou le yé wa,êtesvous une fille ,28,19
ko nènè beyi,quil fait froid ,12,16
fen wéra ta konon wa,vous navez plus rien à dire,20,27
na toun sigi râ yan,s’il avait été là,19,17
an bi tamoul yan,on parle tamoul ici,16,19
louis bi olo fora,c’est ce que louise me dit,17,26
a bɛ taa quimper ,elle va à quimper,17,17
ne toun sigè ni lo,moi j’étais trop fatiguée,18,25
i togô ko di,comment tappellestu ,12,20
tchè bina fourou,monsieur va se marier ,16,22
bigɛn ba wɛrɛ,d’autres grands animaux,13,23
n bi na sigɛsigɛ,je vais vérifier,16,16
ni yé mou yé,qu’estce que c’est que ça ,12,26
a yé michel lerou ka pilassi ta,il a succédé à michel leroux,31,28
a tun bi mɔgɔw kan,il dominait les gens,18,20
a bi yɛlɛmana ka taga liɔn,elle déménage à lyon,26,20
aw nana sen na a ,vous êtes venu à pied ,17,22
nin kalansɛbɛ nin ka misɛn kojugu,ce livre est plus mince,33,23
o ye o ɲɛ sin ɲɔgɔnma,elles se firent face,21,20
wulu muso deen naani,quatre chiennes,20,15
nin bɛɛ tun fɔnilo ka kɔrɔ,tout ceci avait déjà été dit,26,28
ka ne furu le,c’est de me marier…,13,19
aw ye kongo fɛnw ne ye,vous êtes des sauvages ,22,23
ni ne ye samyɛl ye,c’est lui samuel,18,16
o yi mɔgɔ joli,combien sontils ,14,16
mɔgɔsi tina la a ra,personne ny croira,19,18
nin ɲiningani nin man nɔgɔ,la question nest pas facile,26,27
kamelekuntanw,de mauvais garçons,13,18
ne tɔgɔ ko jɔn ,je m’appelle john,15,17
bécasse en be filè li kèra ali bi,bécasse on regarde toujours,33,27
a bɔni bɛ kɔnɔni ma,atil l’air d’un oison ,19,22
a bi sii amsterdam na,elle réside à amsterdam,21,23
wagati jan kora n ta lɔn,pour longtemps je lignore,24,25
a tununa ni wagati ye,elle a disparu avec le temps,21,28
lonnia koan be mou mon,sciences disant que saiton,22,26
an toun bi anga fani bolo kourou la,on se troussait les manches,35,27
yan fo djama tchèma,je lai dit dans le peuple,19,25
mohitiɛr ka popylatiɔn miw bɛ mayɛn na,rue de la mauhitière à mayenne,38,30
mɔgɔminiw bi mɔgɔ bila yɛlɛkora segɔn duuru,kean comédie en cinq actes,43,26
mateo vilani saba,trois matteo villani liv,17,24
nunu jigɛ nunu ye nne sigɛn,ces goujats mavaient lassé,27,26
barada wolonfila,sept la fieffe verbot de haut,16,29
kɔlon min bɛ boɲɛ duuru bɔ,puis du au sur la cinq,26,22
popilatiɔn miniw bo ka bon kuraw ra biz ra,rue de la bise la bâtieneuve,42,28
bulevoir tan ni kelen,onze avenue cottineau,21,21
mɔgɔ min bi wili sanfɛ o ka dugu le ye miripon ye,rue astronome vidal à mirepoix,49,30
ko i ka bɛri fara a kan ko ra ko sase nin bina mugu ɲiningali kɛ,ajouter le beurre mou le sachet damandes en poudre et le rhum,64,61
ko balɔnzue mɔgɔɲanamanw le minu bi se ka ta o yɛrɛ ladege ni kameleden balɔntanlaw ye,cest un des meilleurs clubs du département en termes de formation des jeunes joueurs,86,84
ko aka don,il faut entrer pourtant pensa tout haut justin,10,46
tobili fèn nounou,la liste dingrédients se fait rare sur cette marque,17,51
ko piedregrɔl duuru ale ni biseegi ni wɔrɔ ni kɛmɛ ni biwɔrɔ bi lavu ra,cinq piedegrolle quatrevingtsix huit cents à lavoux,71,51
ko jayan juman lo tun yi diɲɛn nin ye nin dugukolo nin ye nin mɔgɔw ye,à quelle distance étaiton de la vie de la terre des hommes,70,60
sabula o yi tiɲɛn da ma ko caaman benna karoseri kan,comme pour lui donner raison de grosses gouttes claquent sur la carrosserie,52,75
ko a ka kalan laban na a nana kɛ ɲamɔgɔ dɔ ye ale ni ɲamɔgɔba dɔ wɛrɛ ye tuguni,ses études terminées il devient administrateur dans le cinéma puis directeur de production,79,90
ko barakɛ minɛn dɔ lo min tun yala tubabula,cest un matériau qui était extrêmement recherché surtout en france,43,66
ko a ka bara da kura nin yi gwɛlɛya dɔni sɔrɔ o kama a tara sigi na ka balimaya mɔntreyal,ses nouvelles fonctions prennent effet le et il sinstalle à montréal avec sa famille,89,84
ko a bi barakɛ nin martɛn kristɛr ye min bi sɔrɔli caman kɛ a ka bara nɔfɛ,il travaille pour le collectionneur marten kretzer qui lui passe plusieurs commandes de peintures,74,97
ko nin wagati nin laban na ko jama sɔnna ko barakɛse nunu ka filɛ opɛnsurs mɔgɔ nunu fɛ,enfin les analyses publiques permettent un suivi de tous les projets opensource référencés,87,90
a bilala pyrénées kɔr,il est affecté à larmée des pyrénées orientales sous les ordres du général pérignon,21,83
ko malakɔf yi sɛbɛli tagabolo fandɔ ye min ye alfabe latɛn ye,malakoff en est une autre transcription possible en alphabet latin,61,66
ko faden minuw tun ko bi dugu kɔrɔta ko tun yi dugu nin kɛ dugu ɲanaman ye purke mɔgɔ kana se o ra,lennemi profitant de la défense quoffrait le pays avait fait les meilleures dispositions,98,88
an ka bɛrɛ dumu,alors mangeons des lithodomes,15,29
wagatiyiranan sanuta min kɔnɔnanigɛ ye nɛrɛmuguman ye,montre or cadran émail jaune,53,28
mɔt ango ka siraba,rue de la motte ango flers,18,26
suwɛt ka siraba nin bi sanpini ,rue des chouettes à champniers,31,30
mwaran ka siratilen nin gar tuguni nunu bi sɛn zan de mwaran ,en direction de moirans sintercale la gare fermée de saintjeandemoirans,61,71
sèbë li la ben baga beyu,il y a les notes,24,16
an ba nanigɛla le,négociant en meubles,17,20
fila nunu ka dugu sira ka jan,avenue du camp long cannes,29,26
gala ka foro sira mugan,vingt rue des champs des côtes,23,30
dugu siri,sacrebleu le saladier doré ,9,27
a ka jugu ni jigida ye,c’est plus qu’une espérance ,22,28
kumabolo kelen,or tant l’article l,14,19
kumabaliya ye bɛ ja tigɛ,le silence unanime frémissait,24,29
ddiɲɛ mɔgɔw bi poa,rue astronome vidal à mirepoix,18,30
nigê djourou daga,postscriptum,17,12
aya fo ko badji,le ressac lui ditil,15,19
bon nunu tɔgɔ filɛ,voir la rubrique urbanisme,18,26
artir fɔntɛn ka sira saba,trois rue arthur fontaine,25,25
mangorotu bi desɛrtine ,clos des vergers à désertines,23,29
n bina sogomugu bɔ,je vais m’embourguignonner,18,26
bon nin ba a ka nɔrɔ la,cest un monument à sa gloire,23,28
sinemanso bi mun le fɔ aw ye,ça vous dit un cinoche,28,22
inscani kka bn ougougaou da,hameau descanis à aurillac,27,26
i touta ya fi ko dfr ti,on eût dit une noyée,23,22
peletière ka sera ni sama,trois sentier des pelletières,25,29
marassè ka sira ba,avenue du marensin magescq,18,26
jamana kuntigiya,la république dominicaine,16,25
a jugumanyɔrɔ tun ye dɔnkililabaga ye,de piis était chansonnier,37,25
pol sejurne ka siraba nin bɛ pɛrɲan,rue paul sejourné perpignan,35,27
gɔn bi bɛgɛnminw na,des animaux cornus,19,18
lil ka ko kɔrɔtani dan ye rɔk sɛn antwane te,laltitude maximum de lîle est de au roc saintantoine,44,52
aw ni sɔgɔma n teriw,bonjour les amis,20,16
oka kokè ta,on trouve des œuvres très semblables à celles de kiitsu parmi celles de hōitsu,11,78
a toun degoulilo,il s’était occupé aussi d’économie politique,16,44
a kèra di,avec les bénéfices des deux expositions des organismes dentraide pour les femmes sont financés,9,94
a bi na kè di,le monument une borne routière était conservé à fleurymérogis,13,61
ibi toka yèlè,lisa souriait quand on lui parlait de ces choses à mots couverts,13,65
marmadou bina ta,c’est encore la faute de marmadou… c’est toujours la faute de marmadou ,16,71
a ti ta yôrô chi,et il ne bougea plus les poings serrés,16,38
kouma bi michel bolo,la parole est à monsieur françoismichel lambert,20,47
ni koni yi kelé le yé roumanie,ce phénomène est unique en roumanie,30,35
a bi i dôgô fê,il aima ta sœur,14,15
narendranate ta nana kɛ kɔfɛ vivekananda ye min tilara ka kɛ dinakalanden ɲamɔgɔɲanaman dɔ ye,narendranath dutta qui devint plus tard vivekananda est lun des principaux disciples monastiques,93,96
ale ɲɔgɔn ye nin da ra tɔgɔ min na o ye hirosi sayito ye,cette espèce est nommée en lhonneur de hiroshi saito,56,52
ale nin a kɛra sisan bordo ka jiyɔrɔ belebeleba nin dɔ le ye sisan,elle fait partie du grand port maritime de bordeaux,66,51
ale bi lanaya ɲanaman du ma o ka ɲanamaya kɔnɔ,cela lui offre bien sûr une précision et un contrôle absolu sur son appareil,46,76
a lani tun bɛ zezu ka ɲanamaya sigi ra mɛ min ma kɛ an tun bi min kɔnɔ na nin ye,on croirait lenfant jésus bien vivant mais moins que ce quelle attendait,80,72
ɛske klimu tun be bonkɔnɔyɛn na ,la chambre est climatisée ,32,26
an bi yɔrɔ min na komi ɲinan tɔgɔtɔgɔni bana dɔ fanga nana boyɛn o fɛ,cette annéelà une épidémie de dysenterie mortelle sévit dans la garnison,69,72
a ya muso fɔlɔ kunbɛn univɛrsite sitirilŋ na alɔ ko bɛ tun ye kalandenba ye,il rencontre sa future femme kate à luniversité de stirling alors quils sont étudiants,75,86
su kelen tun labɔli kɛ ka se ka nin ko ɲɔgɔnaw ka ko bɛ datugu,une nuit était suffisante pour remplir un réservoir de maison typique,62,69
nigɛ bila yɔrɔ nin labɛn nin lo ka bila,un parc pour les vélos est aménagés,39,35
a ka sigi yɔrɔ tun ye asunsiyɔn ye min ye parawi ka kapitali ye eglizi nin ka caama cɛ min tun yi katedrale asunsiyɔn,son siège est à asunción capitale du paraguay et léglisemère est la cathédrale dasunción,117,88
kalo damani tɛmɛ nin kɔ komunote yi aviyon bolibaga dɔ yala min bina taga kɔfɛ,quelques mois après la chaîne commande un pilote pour la série,78,62
a ta mɛ na a tun bi min fɔ ra,il ne comprenait pas ce qu’elle disait,29,38
a bi sɔrɔ drɔn cɛmanu na ani kelen kelen,il se trouve uniquement chez les mâles avec des exceptions cependant,40,68
mun le kɛra,qu’estce qui se passe ,11,22
ɲumanw ani jugumanw,les bons et les mauvais,19,23
datuguni ti foyi lakisi,les clôtures ne protègent rien,23,30
a ya tulo datugu walasa a kana nin mankan nin lamɛ,bouchezvous les oreilles pour ne pas entendre ce bruit,50,54
sisan kɔni an bi wagati min na na ka bi kɛ ko n tina a kɛ,enfin pour le moment je suis décidée à en rester là ,57,52
a ya ka kalanw daminɛ kalanbon panpelune na,il a commencé ses études à lécole des arts de pampelune,43,55
teliya nin ma jaati a kɔnɔ,la vitesse nest ainsi pas prise en compte,26,41
aw bina da yɛlɛ,vous ouvrez la porte ,15,21
ka ɲɔgɔw labalo,se nourrir,15,10
aw tigɛw,vos mains,8,9
dofine ka sira ɔrleyan kɔnɔ,avenue dauphine orléans,27,23
luwi diplɛn ka sira besansɔn ,rue louis duplain besançon,29,26
a le le kaman a tina seka yèlè ma ni kè,c’est pourquoi une simple réforme de gestion ne suffira pas,39,59
oyi tigê djigi kè a yé,exclamations sur les bancs du groupe src,22,40
a mèna mogô ya kouma fô,depuis divers auteurs ont repris la principe sous diverses formats,23,66
kouman kan kelé kelé,des signets de rubans dépassaient lor des tranches,20,50
ka ko kalan ka yan lon,lapprentissage automatique nécessite beaucoup de tâches ingrates en amont,22,73
mbi feni bè da lon,je stocke mes données sur le cloud,18,34
yan filè tchama,courfeyrac et combeferre se regardaient avec stupéfaction,15,57
famouya li kèra tchama,il était trop évident qu’ils étaient impuissants alors à le secourir,22,72
ne yérè toumbi o konon na,je ne vous visais bien sûr pas personnellement,25,46
môgô dow toumbi sanga râ yan feyi,alors dans un salon illuminé une femme en deuil fit la révérence,33,64
ka sôrô angan ko kè ta bè yi kelé,néanmoins les dispositions proposées nous semblent relever du champ réglementaire,33,81
an kagni ka toga ko nou nou korochi,nous devons en rester à des objectifs agricoles d’ordre général,35,63
i ma yé sa,ah bien tu as de l’aplomb ,10,26
mba fè ka ta ni yanfoli yé,je demande à continuer l’explication,26,37
a bi kouma dien latigê kan,elle concerne la vie éternelle lenfer et lâme,26,45
yorô dô la oyi kouma a fè,d’autre part cela s’appuiera sur un accord des parties concernées,25,65
aya yé ko gan taga bolo kagni,du coup il trouve mon plan assez séduisant,29,42
ayi a yan welé a fè,il m’a reconnu il nous a invités chez lui,19,41
a bamousso rounti se ka na,que faire la mère ne pouvait pas emmener lenfant sans le prévenir,26,65
sissan a kagni kodjougou,enfin la présence desprit lui revint,24,36
dô ka ni le bi farasila,c’est la vie d’un homme qui est en jeu maintenant,23,49
ni bâ ka ben lo telia,cela ne fera que précipiter sa chute,21,36
n ma la ra kɔsɔbɛ,pas très sûr,17,12
o tun bi fɛn bɛ cɛ fɛn min tun bi kɛ kom fɛn yanama ubɛn fɛn kolon,ils ramassaient tout ce que le coin comptait de psychopathes et de tordus,66,73
ale le ye sinema livru ye minw bi yala ninw kɛ ani ka ko yira mɔgɔw ra tigi ye,il est aussi auteur de livres denquêtes et scénariste de fictions pour le cinéma,78,80
ale le ye kalanɲamɔgɔba nunu bɛ kuntigi ye,il est membre titulaire de la société détudes scientifiques dangers,42,67
ɲanni ka wagati juman le mobili bina taga siyɛn filanan la,dans combien de temps est le prochain car pour philadelphia ,58,60
a bi emakumen eskal ka boli yɔrɔ le yira la,elle fait figure de course douverture de lemakumeen euskal bira,43,63
ka sɔrɔ ɲamɔgɔ nun ka koɲafɔli ba ra,il s’agissait pourtant d’une proposition importante de la commission d’enquête,36,78
a ye n ɲininga ka ba fɛ ani nne dɛsɛla foyi ti n fɛ,elle me demande elle a besoin et moi misérable je nai rien,51,58
n ma davi ta fɔlɔ,je n’ai pas encore décidé,17,25
nin wagatiw ra n sigɛni lo,ces tempsci je suis souvent fatigué,26,35
duguba kɔnɔ,dans une ville,11,14
ko lɔyɔrɔkuraw fara ra ɲɔgɔnw kan ko di komini na ale ni monto flanvile la,de statut commune nouvelle elle regroupe les communes de ogy et de montoyflanville,74,82
ko mandigoria obano anɔrbe barasɔɛn garinɔɛn pueyo tafalla ale ni laraga ko bɛ fara nin lo ɲɔgɔn kan,mendigorría obanos añorbe barásoain garínoain pueyo tafalla et larraga,100,70
ko piyɛr du karo ka siraba nin ko kilo wa bisegi ni biduuru ale ni kɛmɛ nani ni kɛmɛ ni mugan,avenue de la pierre du carreau quarantecinq mille deux cent vingt saintgermaindesprés,93,85
robɛrso abito ka taga bolo ye kɔfɛ ta dɔni sabula wari teyi,le développement du nouveau vaisseau habité subit un retard important car le financement manque,59,95
ko a gɛlɛya ra a tun kaɲi ka wari dɔ sara sisan pɔp nana a ka bara nin toyi warisara nin kama,malheureusement il dût payer une amende popp finira par démissionner de son job,93,79
ko sira biduru ni kelen lo bi tɔnblɛn ale ni kɛmɛ ni nani ale ni kɛmɛ seegi ni mugan ale lo bi salsirlɛsnansi ra,cinquante et un rue de tomblaine cinquantequatre quatre cent vingt saulxureslèsnancy,112,84
ko ni bɛ kɔsɔn o sera kelen ɲɔgɔn cɛ,malgré tout elles firent un service honnête en tête de trains semidirects et omnibus,36,84
ko fanklai boɲɛna minis mi ye tubabu jaamana dɔ ye ka bolora baradegi kalan so dɔra,franzl lang grandit à munich et apprend après lécole le métier doutilleur,83,73
koni o ka gan ni ya ni bɛɛ kɛra keleen ye ko bi se kɛ kelen ye,lorsque leur température respective devient égale ils se trouvent en équilibre thermique,62,88
ko ale le kɛra sariya ɲɔgɔ ye azɛrbajan,aliyev est nommé viceprésident du parlement dazerbaïdjan,39,56
ko a ye kalan kɛ kalanso dɔ ra min tɔgɔ ye pitsburg ka sɛkɔ ka tulon kɛ ni o ka jara nunu ye ale pitsburg na,il étudia à luniversité de pittsburgh et joua donc pour les panthers de pittsburgh,108,82
ko bon be yi lokatiɔna vɛrdit sira kɔrɔ ko vila antoinɛtinin,appartement à louer avenue verdi villa antoinette la madeleine prix de guerre,60,77
lafiyɛnyɔrɔ tugu ra epi ka ban ka taga,halte fermée et désaffectée,38,27
ko odilɔn baro lo ye kumatabaga ye kuma min ba yira ka fɔ ko nin yi kumata ko bɛɛ ka kumakan le i ba fɔra politikiya ra,odilon barrot est le porteparole de lopposition dynastique,119,58
ko bara ni la o kagni ka la dili kè,selon leur nature les travaux dentretien sont soumis à autorisation ou déclaration,35,82
ko angilɛ fama tanple tun bi bɔston ko kama le andiɲe de granfɔntɛn fana tara kɔ ye,comme le gouverneur anglais temple résidait à boston andigné de grandfontaine s’y rendit,83,88
ko ale na ka balemaya bɛɛ le bi yɛlɛmana lɔs san zenɛt,sa famille et elle déménagent ensuite à los angeles,54,51
ko jean ka taga,allée jean tinguely évreux,15,26
ko koulo fin,telle était la jacressarde,12,27
a bi siga en korô,à part le flairant de près,17,26
soula ka bo dè,un fameux magot alors,14,21
an bi na balo,av de la republique paris,13,25
ko nin fɛn kuntigɛni bi jigilatigɛya lase vilazi deni deni mɔgɔ nunu ma,cette suppression crée une grande inquiétude auprès des petites collectivités locales,71,85
ko nne ye yɔrɔmin kɛra komi kɛsu min beyi nin o bi to ka taga mɔgɔw su don na ye ko ya yɛlɛ kura ye,le a lieu une nouvelle ouverture officielle du cercueil,99,55
ko yɛrɛworoya tun siginin le rumɛn ka guvɛrneman kan,elle est fondée sur le principe de légitimité du gouvernement roumain,52,69
ko kit karsɔn ka ya nin ta nin boli ni na mɛ a tilara ka sirata ka sɛkɔ,kit carson a participé à cette ascension mais a rebroussé chemin,71,64
ko le marki de garme min tun yi jalatigi ɲamɔgɔ ye ka tun yi matigi ye,le marquis de germay officier supérieur en était le seigneur,70,60
ko a tun tara filɛri min kɛ o filɛri nin tun bi a ka nɔkɔna nin le filɛ,il utilise pour cela lobservation par rétinoscopie,71,50
ko yelen bɔra a ye matigi yɛlɛ sanfɛ,a la lueur de la chandelle il troussa la créature,36,49
ko nina simɔne ka albɔmu fɔlɔw,les principaux albums de nina simone,30,36
ko nunu fɛn nunu kama ko wɔrɔ lo beyi a bi se ka fɔ fo tuma bɛ no lu le ye pe de fo siyɛn wɔrɔ,parmi ces isotopes six sont stables pd pd pd pd pd et pd,94,56
ko a daminɛ fɔlɔla min tara kɛlɛkɛ fan na a yi kurazi ta tilebin fanfɛ,dabord par une vive attaque il emporte les faubourgs du sud,70,59
ko ɔnhɔn ko a bi se ka kɛ ko mɛ a fɔ a ye fɔlɔ ban an tun ye lon min bɔ ka bila,oui peutêtre mais propose lui dabord les deux dates que nous avions réservé,79,75
